neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Williamsburg,40.71774,-73.95466,Entire home/apt,285,2,17,2017-09-03,0.44,1,0
Manhattan,Harlem,40.82818,-73.9389,Private room,39,4,75,2019-06-19,2.52,1,52
Brooklyn,South Slope,40.66481,-73.97807,Entire home/apt,125,150,18,2014-10-13,0.29,1,0
Manhattan,Morningside Heights,40.81153,-73.95856,Entire home/apt,125,2,27,2019-06-16,1.0,2,0
Brooklyn,Bushwick,40.68502,-73.90883,Entire home/apt,145,2,142,2019-07-05,4.41,1,218
Manhattan,Midtown,40.76733,-73.98074,Entire home/apt,160,3,52,2019-06-26,2.66,1,27
Brooklyn,Crown Heights,40.66898,-73.94209,Private room,35,3,165,2019-04-10,4.09,5,272
Queens,Queens Village,40.70649,-73.74517,Private room,41,1,24,2019-06-28,2.47,3,351
Manhattan,SoHo,40.72635,-74.00298,Private room,94,1,1,2017-07-05,0.04,1,0
Manhattan,Hell's Kitchen,40.7605,-73.99455,Entire home/apt,199,3,110,2019-06-20,3.02,1,246
Brooklyn,Crown Heights,40.67183,-73.95491,Entire home/apt,110,4,3,2016-01-03,0.05,1,0
Queens,Queens Village,40.70472,-73.74865,Entire home/apt,121,1,13,2019-07-06,2.28,3,90
Manhattan,East Village,40.72634,-73.97625,Private room,139,2,31,2019-06-26,2.88,1,81
Bronx,Fordham,40.86914,-73.8951,Private room,79,3,73,2019-06-20,2.79,4,69
Bronx,Fordham,40.87093,-73.8934,Private room,58,3,84,2019-06-23,2.74,4,75
Brooklyn,Williamsburg,40.70743,-73.9416,Entire home/apt,154,3,5,2019-06-07,0.35,1,80
Manhattan,SoHo,40.72004,-73.99862,Private room,100,5,7,2019-06-15,0.77,3,16
Manhattan,Midtown,40.75334,-73.98719,Entire home/apt,250,2,4,2019-06-10,1.12,1,0
Manhattan,Washington Heights,40.8352,-73.94045,Private room,50,1,3,2017-08-23,0.13,1,0
Manhattan,Lower East Side,40.71969,-73.99287,Entire home/apt,250,3,107,2019-06-24,1.64,1,273
Manhattan,Hell's Kitchen,40.76573,-73.98682,Entire home/apt,225,5,8,2019-05-21,0.4,1,0
Brooklyn,Williamsburg,40.70761,-73.95337,Private room,130,2,8,2019-06-26,0.68,1,86
Brooklyn,Bushwick,40.69329,-73.91328,Shared room,15,30,3,2018-07-14,0.16,5,344
Brooklyn,Bedford-Stuyvesant,40.694,-73.94355,Shared room,30,2,18,2019-07-07,2.57,4,192
Brooklyn,Fort Greene,40.68757,-73.97469,Entire home/apt,220,1,115,2019-06-24,1.4,2,96
Manhattan,Financial District,40.70617,-74.00948,Entire home/apt,200,7,5,2019-01-01,0.46,1,0
Brooklyn,Williamsburg,40.71495,-73.93997,Private room,96,3,82,2019-06-16,1.58,1,289
Brooklyn,Williamsburg,40.71353,-73.96453,Private room,60,3,1,2018-03-16,0.06,1,0
Brooklyn,Bedford-Stuyvesant,40.69032,-73.95,Private room,65,5,8,2017-09-19,0.21,1,0
Brooklyn,Bedford-Stuyvesant,40.68473,-73.946,Private room,52,2,110,2019-07-01,2.63,2,220
Queens,Astoria,40.7662,-73.92027,Private room,62,2,9,2019-06-03,0.24,1,358
Queens,Woodside,40.75328,-73.90855,Entire home/apt,300,2,73,2019-06-23,2.14,1,228
Brooklyn,Williamsburg,40.71432,-73.95629,Entire home/apt,155,2,2,2017-06-12,0.08,1,0
Manhattan,Harlem,40.80582,-73.95355,Entire home/apt,150,5,11,2019-01-02,0.82,1,0
Brooklyn,Fort Greene,40.68768,-73.97611,Private room,85,2,35,2019-07-02,0.55,2,161
Manhattan,Harlem,40.81953,-73.94717,Private room,79,2,83,2019-07-01,4.14,1,26
Brooklyn,Brighton Beach,40.582,-73.96185,Entire home/apt,120,1,119,2019-07-01,4.2,4,85
Manhattan,Chelsea,40.74945,-73.99511,Entire home/apt,99,31,4,2019-06-14,1.45,1,165
Brooklyn,Bushwick,40.70274,-73.92598,Entire home/apt,100,2,16,2019-06-30,1.89,1,55
Queens,Astoria,40.75953,-73.91182,Entire home/apt,135,5,18,2019-05-26,0.47,1,363
Manhattan,Lower East Side,40.71429,-73.98755,Private room,59,2,14,2017-07-28,0.38,1,0
Queens,Long Island City,40.74859,-73.93904,Entire home/apt,110,30,32,2019-05-17,0.84,1,66
Bronx,Morrisania,40.82434,-73.91377,Private room,40,2,80,2019-07-04,5.01,2,291
Manhattan,East Village,40.72753,-73.98412,Entire home/apt,190,2,5,2018-06-24,0.29,1,0
Manhattan,Upper East Side,40.76279,-73.96266,Private room,125,1,16,2019-06-23,1.26,1,80
Brooklyn,Bedford-Stuyvesant,40.68527,-73.95014,Entire home/apt,130,4,42,2019-07-07,2.01,1,91
Brooklyn,Williamsburg,40.71157,-73.94055,Private room,75,2,4,2019-06-04,2.11,4,0
Brooklyn,Crown Heights,40.67726,-73.94179,Private room,58,3,24,2019-06-29,2.62,1,6
Brooklyn,Bensonhurst,40.60658,-73.99738,Entire home/apt,113,3,69,2019-05-23,2.8,2,99
Manhattan,Midtown,40.76583,-73.98087,Entire home/apt,200,1,1,2017-12-02,0.05,2,0
Brooklyn,Greenpoint,40.72769,-73.94309,Private room,69,3,4,2019-05-23,1.14,1,0
Brooklyn,Canarsie,40.63764,-73.91556,Private room,58,2,1,2019-03-11,0.25,2,0
Brooklyn,Williamsburg,40.71829,-73.95926,Entire home/apt,219,2,64,2019-06-24,3.48,1,257
Bronx,Williamsbridge,40.87905,-73.85243,Entire home/apt,76,2,14,2019-07-01,2.98,2,300
Manhattan,Kips Bay,40.74451,-73.97836,Entire home/apt,150,1,79,2019-06-22,4.55,1,87
Manhattan,Upper West Side,40.79964,-73.96437,Private room,70,3,2,2016-08-13,0.06,1,0
Brooklyn,Cobble Hill,40.6885,-73.99526,Entire home/apt,160,2,205,2019-06-30,5.08,1,6
Manhattan,Harlem,40.81703,-73.9525,Private room,64,2,8,2019-06-23,0.29,3,98
Queens,Glendale,40.69848,-73.89569,Private room,34,30,14,2019-07-02,0.41,2,365
Manhattan,Harlem,40.81312,-73.94273,Entire home/apt,177,3,90,2019-06-22,2.59,3,175
Manhattan,Greenwich Village,40.72939,-74.00064,Private room,80,180,1,2019-05-15,0.55,3,219
Manhattan,Morningside Heights,40.80908,-73.95858,Entire home/apt,150,3,81,2019-06-02,3.24,1,282
Manhattan,Upper East Side,40.76364,-73.9588,Entire home/apt,120,5,5,2016-07-20,0.13,1,0
Queens,Flushing,40.76105,-73.82317,Entire home/apt,85,30,4,2018-11-09,0.31,15,232
Manhattan,Hell's Kitchen,40.76542,-73.98702,Entire home/apt,290,2,55,2019-06-24,1.37,1,0
Staten Island,St. George,40.64779,-74.0846,Entire home/apt,144,1,105,2019-06-30,2.3,1,258
Queens,Ditmars Steinway,40.77842,-73.90994,Private room,58,1,34,2017-01-23,0.66,2,129
Queens,Ridgewood,40.70228,-73.90097,Private room,90,1,4,2019-06-02,2.26,1,1
Brooklyn,Red Hook,40.66541,-74.01407,Private room,60,5,66,2018-11-02,1.75,5,326
Manhattan,East Harlem,40.80906,-73.93686,Private room,75,2,45,2019-06-03,0.94,1,123
Manhattan,Harlem,40.8022,-73.95737,Private room,99,4,2,2015-10-26,0.04,1,0
Brooklyn,East Flatbush,40.64673,-73.94686,Entire home/apt,95,1,28,2019-07-05,10.77,1,292
Brooklyn,South Slope,40.66691,-73.98658,Entire home/apt,399,3,11,2019-01-06,0.31,1,18
Brooklyn,Brighton Beach,40.57891,-73.95388,Entire home/apt,99,1,88,2019-06-26,2.22,2,364
Manhattan,East Village,40.73269,-73.98833,Private room,111,2,48,2019-07-02,4.17,1,0
Queens,Sunnyside,40.74161,-73.92505,Shared room,40,1,20,2019-06-09,1.88,9,343
Bronx,Longwood,40.81928,-73.90933,Private room,60,2,47,2019-05-10,1.22,4,249
Manhattan,Upper West Side,40.77877,-73.97872,Entire home/apt,150,3,39,2019-04-16,0.89,1,0
Brooklyn,Bedford-Stuyvesant,40.68297,-73.93804,Entire home/apt,250,2,3,2015-10-20,0.06,1,0
Bronx,University Heights,40.85711,-73.91594,Private room,44,2,135,2019-06-16,2.13,4,70
Manhattan,Morningside Heights,40.81473,-73.96039,Entire home/apt,160,4,10,2019-06-02,0.43,2,0
Brooklyn,Bedford-Stuyvesant,40.69023,-73.92746,Entire home/apt,175,3,2,2019-07-01,2.0,1,329
Brooklyn,Crown Heights,40.677,-73.92363,Private room,40,1,22,2019-04-20,0.5,3,67
Manhattan,Hell's Kitchen,40.76619,-73.98987,Entire home/apt,179,3,17,2019-05-11,0.67,1,5
Manhattan,Harlem,40.82606,-73.94659,Private room,78,1,4,2019-07-01,0.09,2,55
Manhattan,West Village,40.7385,-74.00014,Entire home/apt,250,2,39,2019-05-27,6.32,1,0
Manhattan,Harlem,40.82232,-73.93908,Entire home/apt,95,2,16,2019-06-24,1.62,1,140
Manhattan,East Village,40.72467,-73.98922,Private room,100,2,1,2019-05-21,0.61,1,0
Brooklyn,Greenpoint,40.73635,-73.95705,Private room,89,2,3,2019-05-21,0.9,2,5
Brooklyn,Crown Heights,40.67189,-73.95624,Entire home/apt,135,3,42,2019-07-05,3.82,1,100
Bronx,Allerton,40.86698,-73.85178,Private room,35,2,21,2019-06-30,3.35,1,252
Queens,Corona,40.74454,-73.8592,Private room,60,1,74,2019-07-07,7.21,3,66
Manhattan,East Village,40.72201,-73.98277,Entire home/apt,200,2,7,2019-07-07,3.68,1,36
Manhattan,Midtown,40.76305,-73.97841,Entire home/apt,800,1,19,2017-06-24,0.69,2,0
Queens,Long Island City,40.75202,-73.93588,Shared room,65,4,1,2018-10-16,0.11,2,1
Brooklyn,Carroll Gardens,40.68153,-74.0016,Entire home/apt,220,2,118,2019-06-19,2.51,1,277
Queens,Sunnyside,40.73857,-73.92563,Private room,72,1,4,2019-07-02,4.0,2,25
Queens,Flushing,40.73968,-73.80601,Private room,80,1,9,2018-08-10,0.65,1,0
Bronx,Highbridge,40.83413,-73.92918,Private room,50,3,23,2019-04-07,1.64,1,188
Brooklyn,Crown Heights,40.6773,-73.95001,Entire home/apt,84,10,2,2017-01-22,0.05,1,0
Queens,Astoria,40.76781,-73.92684,Entire home/apt,70,20,75,2018-09-15,1.05,1,364
Brooklyn,Cypress Hills,40.6784,-73.8924,Private room,100,1,43,2019-06-23,2.65,1,365
Manhattan,East Village,40.72216,-73.98043,Private room,72,10,6,2018-06-29,0.26,1,0
Brooklyn,Carroll Gardens,40.6737,-73.99891,Private room,77,2,18,2019-04-23,0.77,1,1
Manhattan,Hell's Kitchen,40.75774,-73.99371,Entire home/apt,119,2,3,2015-12-14,0.04,1,0
Manhattan,Upper West Side,40.77516,-73.98573,Entire home/apt,2000,30,59,2016-01-28,0.71,11,364
Manhattan,Murray Hill,40.74896,-73.97472,Entire home/apt,228,2,5,2019-06-19,0.91,327,111
Manhattan,Murray Hill,40.74653,-73.9739,Private room,115,1,15,2018-10-14,0.44,3,7
Manhattan,Hell's Kitchen,40.76338,-73.98911,Private room,120,2,154,2019-06-17,4.47,1,266
Manhattan,Upper East Side,40.77076,-73.94757,Entire home/apt,125,2,8,2019-04-23,1.02,1,1
Brooklyn,Bushwick,40.70332,-73.92766,Private room,38,2,13,2019-05-31,0.93,2,141
Brooklyn,Flatbush,40.6412,-73.95302,Entire home/apt,70,2,150,2019-06-22,3.34,1,222
Brooklyn,Crown Heights,40.66975,-73.92878,Private room,49,1,2,2019-06-24,2.0,1,325
Brooklyn,Park Slope,40.68164,-73.9779,Entire home/apt,125,3,22,2019-03-11,0.72,2,0
Brooklyn,Williamsburg,40.71004,-73.95644,Private room,50,1,2,2017-02-12,0.07,1,0
Brooklyn,Bushwick,40.70385,-73.92513,Private room,40,2,3,2017-09-24,0.12,1,0
Brooklyn,Bushwick,40.70794,-73.92168,Private room,120,2,11,2019-06-22,0.2,2,365
Brooklyn,Crown Heights,40.66886,-73.92333,Private room,62,1,69,2019-07-02,2.83,12,65
Manhattan,Upper East Side,40.77316,-73.94495,Entire home/apt,250,2,10,2019-01-12,0.33,1,0
Brooklyn,Greenpoint,40.71958,-73.95247,Entire home/apt,99,2,26,2019-06-27,3.21,1,145
Brooklyn,Williamsburg,40.71,-73.96775,Entire home/apt,250,7,2,2018-12-30,0.14,1,0
Brooklyn,East New York,40.6752,-73.89218,Entire home/apt,80,5,49,2019-06-07,1.01,2,217
Manhattan,Chelsea,40.74107,-73.99595,Entire home/apt,250,5,4,2019-01-02,0.11,1,0
Manhattan,Hell's Kitchen,40.76536,-73.98878,Entire home/apt,225,3,104,2019-06-30,4.79,1,34
Queens,Astoria,40.7743,-73.92579,Entire home/apt,97,3,33,2016-01-02,0.65,1,0
Manhattan,Washington Heights,40.8407,-73.93886,Private room,100,2,4,2017-05-08,0.13,1,0
Brooklyn,Bushwick,40.6985,-73.93578,Private room,80,1,1,2019-01-01,0.16,1,0
Brooklyn,Carroll Gardens,40.68386,-73.99807,Entire home/apt,125,1,1,2019-05-25,0.65,1,34
Manhattan,West Village,40.74049,-74.00527,Entire home/apt,600,1,106,2019-06-21,3.75,1,286
Bronx,Longwood,40.81321,-73.90259,Private room,100,3,2,2019-01-02,0.22,2,207
Brooklyn,Bensonhurst,40.61667,-73.99932,Entire home/apt,100,1,3,2018-12-28,0.41,1,61
Brooklyn,Cobble Hill,40.6881,-73.99498,Entire home/apt,145,2,4,2016-07-08,0.09,1,0
Brooklyn,Crown Heights,40.67508,-73.91788,Private room,99,1,19,2019-06-24,1.61,1,153
Manhattan,Harlem,40.81759,-73.94385,Entire home/apt,150,5,1,2018-07-05,0.08,1,0
Manhattan,East Village,40.72759,-73.98786,Entire home/apt,125,1,11,2018-12-10,1.26,1,0
Manhattan,Murray Hill,40.74819,-73.97642,Entire home/apt,150,2,61,2019-06-23,2.95,1,26
Manhattan,Harlem,40.80822,-73.94264,Entire home/apt,180,2,18,2019-06-13,0.42,1,29
Brooklyn,Flatbush,40.64329,-73.9562,Private room,39,3,1,2017-06-27,0.04,2,0
Brooklyn,Greenpoint,40.72183,-73.94908,Entire home/apt,260,2,7,2018-06-23,0.09,1,0
Brooklyn,Sheepshead Bay,40.60985,-73.95927,Private room,39,3,18,2019-03-16,0.54,3,1
Manhattan,Hell's Kitchen,40.75666,-73.99444,Entire home/apt,185,2,174,2019-06-22,4.88,1,65
Queens,Middle Village,40.71578,-73.87713,Entire home/apt,250,7,5,2019-05-28,0.13,2,363
Brooklyn,Bushwick,40.68987,-73.92241,Private room,45,1,4,2018-08-02,0.34,1,0
Queens,Astoria,40.76204,-73.92267,Entire home/apt,74,5,3,2019-05-21,0.53,1,52
Manhattan,Upper West Side,40.77884,-73.98591,Entire home/apt,180,5,7,2019-06-18,2.5,1,10
Manhattan,Harlem,40.80224,-73.94558,Private room,170,2,17,2015-10-01,0.18,2,88
Brooklyn,Crown Heights,40.67156,-73.95684,Private room,75,2,13,2019-07-02,0.47,1,354
Brooklyn,Crown Heights,40.66675,-73.92958,Entire home/apt,73,2,4,2017-06-13,0.16,1,0
Manhattan,Upper East Side,40.77707,-73.95154,Entire home/apt,275,2,8,2019-01-02,0.91,1,0
Manhattan,Hell's Kitchen,40.76703,-73.98874,Entire home/apt,195,30,17,2019-04-12,0.35,39,333
Brooklyn,Bushwick,40.69297,-73.90427,Private room,65,2,23,2019-05-05,2.35,5,339
Manhattan,Harlem,40.82923,-73.93764,Private room,120,3,22,2019-06-28,2.1,1,10
Manhattan,Midtown,40.74757,-73.98564,Entire home/apt,145,3,7,2019-07-05,2.88,1,36
Brooklyn,Bushwick,40.70827,-73.92264,Entire home/apt,97,2,47,2019-06-09,0.88,2,345
Bronx,Mott Haven,40.80981,-73.92031,Private room,39,1,9,2019-07-01,3.38,1,176
Manhattan,Chelsea,40.74889,-73.99656,Private room,199,1,2,2019-05-26,1.15,20,352
Manhattan,Washington Heights,40.84662,-73.93436,Private room,70,1,23,2019-04-28,0.87,1,138
Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,2019-01-02,0.2,1,224
Queens,Jamaica,40.69267,-73.80159,Entire home/apt,340,1,10,2018-10-31,0.78,4,82
Brooklyn,East New York,40.66756,-73.88704,Private room,45,1,6,2019-05-13,0.28,3,333
Manhattan,Harlem,40.8278,-73.94891,Entire home/apt,97,3,185,2019-06-14,2.46,1,6
Brooklyn,Sunset Park,40.66338,-73.99879,Entire home/apt,300,3,86,2019-06-23,3.41,1,269
Manhattan,Midtown,40.76367,-73.98345,Entire home/apt,269,30,1,2018-11-18,0.13,87,364
Brooklyn,Clinton Hill,40.68572,-73.96627,Entire home/apt,95,14,5,2018-06-04,0.17,2,186
Manhattan,Tribeca,40.71412,-74.00984,Private room,110,3,1,2018-02-28,0.06,1,0
Manhattan,Harlem,40.80227,-73.95571,Entire home/apt,165,3,34,2019-04-08,0.96,1,0
Manhattan,Harlem,40.80823,-73.94963,Private room,62,14,1,2019-05-03,0.45,3,265
Manhattan,Harlem,40.82124,-73.94973,Entire home/apt,100,2,271,2019-06-30,3.85,2,270
Manhattan,Financial District,40.70574,-74.01023,Entire home/apt,201,2,20,2019-06-21,4.11,327,333
Queens,Astoria,40.76145,-73.92273,Private room,90,3,6,2017-10-23,0.18,2,10
Queens,Woodside,40.74508,-73.90291,Shared room,65,2,8,2019-06-29,3.04,1,89
Manhattan,Chinatown,40.71892,-73.99628,Entire home/apt,300,7,2,2014-10-06,0.03,1,0
Brooklyn,Park Slope,40.66767,-73.9828,Entire home/apt,160,14,1,2015-01-04,0.02,1,36
Manhattan,Harlem,40.80494,-73.95588,Private room,89,30,2,2019-06-23,2.0,7,361
Brooklyn,Prospect-Lefferts Gardens,40.66033,-73.96212,Entire home/apt,100,6,78,2018-12-28,1.07,1,0
Manhattan,Chelsea,40.743,-74.00136,Entire home/apt,300,2,2,2019-07-01,1.22,1,363
Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2019-06-26,2.1,2,232
Queens,Astoria,40.75777,-73.91577,Private room,69,5,17,2018-06-03,0.65,2,208
Queens,Astoria,40.77013,-73.92092,Private room,60,2,2,2019-06-10,1.22,2,34
Manhattan,Midtown,40.75442,-73.96696,Entire home/apt,699,3,8,2019-06-16,1.18,49,204
Manhattan,Harlem,40.80754,-73.95151,Private room,58,2,68,2019-06-26,2.35,4,1
Brooklyn,Boerum Hill,40.68863,-73.98935,Private room,59,1,151,2019-06-29,3.37,1,325
Manhattan,Harlem,40.80545,-73.95563,Entire home/apt,99,30,4,2018-08-03,0.09,1,0
Queens,Astoria,40.76473,-73.91183,Entire home/apt,199,1,5,2017-12-17,0.23,1,0
Queens,Long Island City,40.74523,-73.94973,Private room,175,4,1,2019-01-07,0.16,1,39
Manhattan,Harlem,40.80516,-73.94299,Entire home/apt,117,3,126,2019-07-05,3.91,2,66
Manhattan,Roosevelt Island,40.76119,-73.94914,Entire home/apt,70,5,3,2018-07-01,0.12,1,0
Manhattan,East Village,40.7295,-73.98398,Entire home/apt,100,5,1,2015-02-06,0.02,1,0
Brooklyn,Bedford-Stuyvesant,40.69508,-73.93359,Entire home/apt,134,4,65,2019-06-09,2.56,1,130
Brooklyn,Crown Heights,40.67495,-73.93845,Private room,75,5,125,2019-06-27,2.15,5,108
Manhattan,Midtown,40.7467,-73.98706,Entire home/apt,220,2,4,2019-06-18,1.09,13,283
Brooklyn,Crown Heights,40.66586,-73.95128,Private room,55,4,21,2019-04-08,0.34,4,129
Manhattan,Harlem,40.82512,-73.95054,Private room,69,14,6,2017-09-09,0.25,1,0
Brooklyn,Williamsburg,40.71769,-73.9544,Private room,115,3,3,2016-01-26,0.07,1,0
Manhattan,Greenwich Village,40.73055,-74.0007,Entire home/apt,180,2,28,2018-12-31,0.58,1,0
Brooklyn,Bedford-Stuyvesant,40.69545,-73.94839,Private room,44,3,13,2018-03-27,0.54,1,0
Brooklyn,East Flatbush,40.64383,-73.94902,Entire home/apt,175,3,71,2019-07-01,2.23,1,162
Queens,Glendale,40.70504,-73.86933,Entire home/apt,131,3,11,2019-06-18,2.87,1,319
Manhattan,Nolita,40.7229,-73.99574,Entire home/apt,199,7,66,2019-06-09,0.83,1,142
Brooklyn,South Slope,40.66587,-73.98206,Entire home/apt,150,3,70,2019-07-01,2.58,1,89
Manhattan,Midtown,40.75624,-73.97171,Shared room,99,1,9,2019-07-03,7.5,3,15
Brooklyn,Prospect Heights,40.67579,-73.9679,Private room,71,2,174,2019-07-03,3.0,2,3
Manhattan,West Village,40.73301,-74.00268,Entire home/apt,1300,5,28,2018-09-25,0.31,4,297
Brooklyn,Prospect Heights,40.67378,-73.96471,Entire home/apt,150,3,11,2014-12-26,0.14,1,0
Brooklyn,Bushwick,40.70305,-73.93127,Entire home/apt,69,2,4,2019-02-20,0.86,1,0
Manhattan,Upper East Side,40.77255,-73.95457,Entire home/apt,125,1,131,2019-06-17,5.7,1,220
Brooklyn,Williamsburg,40.70819,-73.96597,Entire home/apt,180,2,5,2018-10-25,0.47,1,0
Brooklyn,Bedford-Stuyvesant,40.68861,-73.92941,Entire home/apt,175,4,44,2019-06-24,2.66,1,249
Manhattan,Harlem,40.80649,-73.95225,Private room,84,2,38,2019-06-15,0.68,2,147
Brooklyn,Kensington,40.64265,-73.98355,Entire home/apt,160,3,2,2019-05-30,0.79,1,177
Brooklyn,Bedford-Stuyvesant,40.67847,-73.91244,Shared room,35,1,12,2019-06-24,1.89,17,86
Brooklyn,Williamsburg,40.72171,-73.95487,Entire home/apt,150,4,19,2019-06-10,0.62,1,80
Manhattan,Harlem,40.82557,-73.95514,Private room,65,7,9,2019-05-21,0.14,2,332
Manhattan,East Harlem,40.79534,-73.94526,Entire home/apt,100,1,73,2018-12-28,2.37,1,0
Brooklyn,Williamsburg,40.71024,-73.9517,Private room,105,1,374,2019-06-23,5.06,2,69
Manhattan,West Village,40.73095,-74.00242,Entire home/apt,132,1,1,2016-01-03,0.02,1,0
Manhattan,East Village,40.7252,-73.98339,Private room,125,1,21,2019-06-03,0.75,1,363
Brooklyn,Bushwick,40.68731,-73.91669,Private room,45,3,10,2019-05-29,0.9,10,322
Brooklyn,Kensington,40.64637,-73.97863,Private room,24,18,1,2016-01-29,0.02,1,0
Brooklyn,Bedford-Stuyvesant,40.68421,-73.92608,Entire home/apt,100,2,107,2019-07-03,2.23,1,41
Brooklyn,Crown Heights,40.67175,-73.9436,Entire home/apt,80,4,12,2019-07-04,1.86,1,29
Brooklyn,Williamsburg,40.70794,-73.9566,Private room,90,3,28,2017-12-10,0.65,2,0
